row,Happiness_Rank,Country,Region,Happiness_Score,GDP_per_Capita,Family_(Social_Support),Health_(Life_Expectancy),Freedom,Trust_(Government_Corruption),Generosity,Year,,,,,,,,,,
0,1,Switzerland,Western Europe,7.587,1.397,1.350,0.941,0.666,0.420,0.297,2015,,,,,,,,,,
1,2,Iceland,Western Europe,7.561,1.302,1.402,0.948,0.629,0.141,0.436,2015,,,,,,,,,,
2,3,Denmark,Western Europe,7.527,1.325,1.361,0.875,0.649,0.484,0.341,2015,,,,,,,,,,
3,4,Norway,Western Europe,7.522,1.459,1.331,0.885,0.670,0.365,0.347,2015,,,,,,,,,,
4,5,Canada,North America,7.427,1.326,1.323,0.906,0.633,0.330,0.458,2015,,,,,,,,,,
5,6,Finland,Western Europe,7.406,1.290,1.318,0.889,0.642,0.414,0.234,2015,,,,,,,,,,
6,7,Netherlands,Western Europe,7.378,1.329,1.280,0.893,0.616,0.318,0.476,2015,,,,,,,,,,
7,8,Sweden,Western Europe,7.364,1.332,1.289,0.911,0.660,0.438,0.363,2015,,,,,,,,,,
8,9,New Zealand,Australia and New Zealand,7.286,1.250,1.320,0.908,0.639,0.429,0.475,2015,,,,,,,,,,
9,10,Australia,Australia and New Zealand,7.284,1.334,1.309,0.932,0.651,0.356,0.436,2015,,,,,,,,,,
10,11,Israel,Middle East and Northern Africa,7.278,1.229,1.224,0.914,0.413,0.078,0.332,2015,,,,,,,,,,
11,12,Costa Rica,Latin America and Caribbean,7.226,0.956,1.238,0.860,0.634,0.106,0.255,2015,,,,,,,,,,
12,13,Austria,Western Europe,7.200,1.337,1.297,0.890,0.624,0.187,0.331,2015,,,,,,,,,,
13,14,Mexico,Latin America and Caribbean,7.187,1.021,0.915,0.814,0.482,0.213,0.141,2015,,,,,,,,,,
14,15,United States of America,North America,7.119,1.395,1.247,0.862,0.546,0.159,0.401,2015,,,,,,,,,,
15,16,Brazil,Latin America and Caribbean,6.983,0.981,1.233,0.697,0.490,0.175,0.146,2015,,,,,,,,,,
16,17,Luxembourg,Western Europe,6.946,1.564,1.220,0.919,0.616,0.378,0.280,2015,,,,,,,,,,
17,18,Ireland,Western Europe,6.940,1.336,1.369,0.895,0.618,0.287,0.459,2015,,,,,,,,,,
18,19,Belgium,Western Europe,6.937,1.308,1.286,0.897,0.585,0.225,0.223,2015,,,,,,,,,,
19,20,United Arab Emirates,Middle East and Northern Africa,6.901,1.427,1.126,0.809,0.642,0.386,0.264,2015,,,,,,,,,,
20,21,United Kingdom,Western Europe,6.867,1.266,1.285,0.909,0.596,0.321,0.519,2015,,,,,,,,,,
21,22,Oman,Middle East and Northern Africa,6.853,1.360,1.082,0.763,0.633,0.325,0.215,2015,,,,,,,,,,
22,23,Venezuela,Latin America and Caribbean,6.810,1.044,1.256,0.721,0.429,0.111,0.058,2015,,,,,,,,,,
23,24,Singapore,Southeastern Asia,6.798,1.522,1.020,1.025,0.543,0.492,0.311,2015,,,,,,,,,,
24,25,Panama,Latin America and Caribbean,6.786,1.064,1.199,0.797,0.542,0.093,0.244,2015,,,,,,,,,,
25,26,Germany,Western Europe,6.750,1.328,1.299,0.892,0.615,0.218,0.282,2015,,,,,,,,,,
26,27,Chile,Latin America and Caribbean,6.670,1.107,1.124,0.859,0.441,0.129,0.334,2015,,,,,,,,,,
27,28,Qatar,Middle East and Northern Africa,6.611,1.690,1.079,0.797,0.640,0.522,0.326,2015,,,,,,,,,,
28,29,France,Western Europe,6.575,1.278,1.260,0.946,0.550,0.206,0.123,2015,,,,,,,,,,
29,30,Argentina,Latin America and Caribbean,6.574,1.054,1.248,0.787,0.450,0.085,0.115,2015,,,,,,,,,,
30,31,Czech Republic,Central and Eastern Europe,6.505,1.179,1.206,0.845,0.464,0.027,0.107,2015,,,,,,,,,,
31,32,Uruguay,Latin America and Caribbean,6.485,1.062,1.209,0.812,0.604,0.246,0.232,2015,,,,,,,,,,
32,33,Colombia,Latin America and Caribbean,6.477,0.919,1.240,0.691,0.535,0.051,0.184,2015,,,,,,,,,,
33,34,Thailand,Southeastern Asia,6.455,0.967,1.265,0.739,0.557,0.032,0.576,2015,,,,,,,,,,
34,35,Saudi Arabia,Middle East and Northern Africa,6.411,1.395,1.084,0.720,0.310,0.325,0.137,2015,,,,,,,,,,
35,36,Spain,Western Europe,6.329,1.230,1.314,0.956,0.460,0.064,0.182,2015,,,,,,,,,,
36,37,Malta,Western Europe,6.302,1.207,1.302,0.887,0.604,0.136,0.518,2015,,,,,,,,,,
37,38,Taiwan,Eastern Asia,6.298,1.291,1.076,0.875,0.397,0.081,0.254,2015,,,,,,,,,,
38,39,Kuwait,Middle East and Northern Africa,6.295,1.554,1.166,0.725,0.555,0.256,0.162,2015,,,,,,,,,,
